SatPRN,GPSTime,Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0
G08,2024-04-13 16:53:58.426041,4437149.5163048385,3084996.9662880516,3376236.6834551967,21161623.826023966,33.7
G10,2024-04-13 16:53:58.426041,4437164.767285196,3084995.3197347047,3376236.0552278324,22842432.114251208,28.1
G27,2024-04-13 16:53:58.426041,4437133.246711478,3084973.290025212,3376238.4806371154,22222300.62029748,27.2
G28,2024-04-13 16:53:58.426041,4437164.130834142,3084979.5816738633,3376241.5682288622,23812102.428267445,35.0
G32,2024-04-13 16:53:58.426041,4437180.599582744,3084973.349662245,3376237.1813032813,21482988.15273183,31.1
G02,2024-04-13 16:53:59.426041,4437150.069804641,3084962.0214974284,3376234.2429784196,22881733.424843643,41.7
G03,2024-04-13 16:53:59.426041,4437155.42456497,3084958.8212624523,3376241.751632781,23992705.79509343,35.5
G08,2024-04-13 16:53:59.426041,4437160.966369606,3084954.080243228,3376244.7187952944,21164187.961018633,46.1
G10,2024-04-13 16:53:59.426041,4437166.645593489,3084948.68368452,3376249.8023747425,22845162.933725726,40.1
G21,2024-04-13 16:53:59.426041,4437174.439302058,3084940.101575751,3376254.1385267894,21664025.017866902,49.5
G27,2024-04-13 16:53:59.426041,4437176.1644610325,3084938.0759089417,3376253.5124043343,22225229.91854857,38.5
G28,2024-04-13 16:53:59.426041,4437181.643580276,3084933.733832775,3376253.545812633,23813981.537514526,37.3
G32,2024-04-13 16:53:59.426041,4437166.465631742,3084929.3343567015,3376246.7150927763,21485623.938320536,44.7
G03,2024-04-13 16:53:59.426041,4437192.078541442,3084926.906691644,3376263.0514090625,23990360.241526168,28.4
G08,2024-04-13 16:53:59.426041,4437204.462702665,3084924.160762785,3376258.2335752724,21161837.87039476,37.9
G10,2024-04-13 16:53:59.426041,4437199.955408929,3084926.6304048444,3376271.3788443543,22842813.15720577,30.6
G27,2024-04-13 16:53:59.426041,4437198.507105311,3084935.7560705086,3376285.2457909607,22222878.04800249,31.7
G32,2024-04-13 16:53:59.426041,4437173.626485416,3084918.0927625685,3376267.016431651,21483270.567055725,31.9
G02,2024-04-13 16:54:00.426041,4435382.324837882,3084051.2030795594,3374431.5384485302,22881265.13080038,42.8
G03,2024-04-13 16:54:00.426041,4437180.298070101,3084930.9696201608,3376277.3626054507,23992227.659127362,34.1
